country_code,country_name,ember_region,target_year,capacity_target_gw,share_target_pct,Hydro,Rest of renewables,Solar,Wind,Offshore Wind,Onshore Wind,Bioenergy,Other Renewables,"Hydro, bio and other renewables",Renewables
SVN,Slovenia,Europe,2030,3.81,0.756,0.242,,3.45,0.15,,,0.21,,,0.486
SWE,Sweden,Europe,2030,49.77,,17.13,,9.2,23.44,,,,,,
THA,Thailand,Asia,2030,21.9153,,3.1618,,10.077,4.01,,,4.6665,,,
TUR,Türkiye,Europe,2030,91.2,47.3,35.1,,32.9,18.1,,,,5.1,,
TZA,Tanzania (the United Republic of),Africa,2030,7.49,55.072336875,27.5,3.2,3.3,11.9,,,0.1,9.072336875,,7.49
UKR,Ukraine,Europe,2030,23.611,25.0,4.935,,11.788,,0.3,5.12,1.448,0.02,,25.0
USA,United States,North America,2030,740.9,30.0,103.4,,428.3,,6.2,187.8,10.2,5.0,,30.0
UZB,Uzbekistan,Asia,2030,11.8,26.6,3.8,,5.0,3.0,,,,,,
VNM,Viet Nam,Asia,2030,168.025,47.0,34.667,,73.416,,17.032,38.029,4.881,,,47.0
XKX,Kosovo,Europe,2030,1.45179,43.0,0.10188,,0.63675,0.68769,,,0.02547,,,
ZAF,South Africa,Africa,2030,30.63,32.5,4.6,,8.288,17.742,,,,,,
KAZ,Kazakhstan,Asia,2030,,44.25,17.58,,9.55,15.91,,,1.21,,,
TGO,Togo,Africa,2030,,50.0,,,,,,,,,,50.0
