country,type,year,value,lower,upper,mape,order
AUSTRALIA,history,1974,83.0,,,8.6,"(0, 1, 0)"
AUSTRALIA,history,1975,61.0,,,8.6,"(0, 1, 0)"
AUSTRALIA,history,1976,71.0,,,8.6,"(0, 1, 0)"
AUSTRALIA,history,1977,71.0,,,8.6,"(0, 1, 0)"
AUSTRALIA,history,1978,68.0,,,8.6,"(0, 1, 0)"
AUSTRALIA,history,1979,75.0,,,8.6,"(0, 1, 0)"
AUSTRALIA,history,1980,81.0,,,8.6,"(0, 1, 0)"
AUSTRALIA,history,1981,72.0,,,8.6,"(0, 1, 0)"
AUSTRALIA,history,1982,51.0,,,8.6,"(0, 1, 0)"
AUSTRALIA,history,1983,48.0,,,8.6,"(0, 1, 0)"
AUSTRALIA,history,1984,43.0,,,8.6,"(0, 1, 0)"
AUSTRALIA,history,1985,48.0,,,8.6,"(0, 1, 0)"
AUSTRALIA,history,1986,51.0,,,8.6,"(0, 1, 0)"
AUSTRALIA,history,1987,74.0,,,8.6,"(0, 1, 0)"
AUSTRALIA,history,1988,61.0,,,8.6,"(0, 1, 0)"
AUSTRALIA,history,1989,75.0,,,8.6,"(0, 1, 0)"
AUSTRALIA,history,1990,84.0,,,8.6,"(0, 1, 0)"
AUSTRALIA,history,1991,54.0,,,8.6,"(0, 1, 0)"
AUSTRALIA,history,1992,43.0,,,8.6,"(0, 1, 0)"
AUSTRALIA,history,1993,56.0,,,8.6,"(0, 1, 0)"
AUSTRALIA,history,1994,58.0,,,8.6,"(0, 1, 0)"
AUSTRALIA,history,1995,65.0,,,8.6,"(0, 1, 0)"
AUSTRALIA,history,1996,66.0,,,8.6,"(0, 1, 0)"
AUSTRALIA,history,1997,79.0,,,8.6,"(0, 1, 0)"
AUSTRALIA,history,1998,61.0,,,8.6,"(0, 1, 0)"
AUSTRALIA,history,1999,75.0,,,8.6,"(0, 1, 0)"
AUSTRALIA,history,2000,83.0,,,8.6,"(0, 1, 0)"
AUSTRALIA,history,2001,87.0,,,8.6,"(0, 1, 0)"
AUSTRALIA,history,2002,85.0,,,8.6,"(0, 1, 0)"
AUSTRALIA,history,2003,100.0,,,8.6,"(0, 1, 0)"
AUSTRALIA,history,2004,185.0,,,8.6,"(0, 1, 0)"
AUSTRALIA,history,2005,198.0,,,8.6,"(0, 1, 0)"
AUSTRALIA,history,2006,244.0,,,8.6,"(0, 1, 0)"
AUSTRALIA,history,2007,224.0,,,8.6,"(0, 1, 0)"
AUSTRALIA,history,2008,293.0,,,8.6,"(0, 1, 0)"
AUSTRALIA,history,2009,319.0,,,8.6,"(0, 1, 0)"
AUSTRALIA,history,2010,326.0,,,8.6,"(0, 1, 0)"
AUSTRALIA,history,2011,302.0,,,8.6,"(0, 1, 0)"
AUSTRALIA,history,2012,370.0,,,8.6,"(0, 1, 0)"
AUSTRALIA,history,2013,408.0,,,8.6,"(0, 1, 0)"
AUSTRALIA,history,2014,421.0,,,8.6,"(0, 1, 0)"
AUSTRALIA,history,2015,475.0,,,8.6,"(0, 1, 0)"
AUSTRALIA,history,2016,562.0,,,8.6,"(0, 1, 0)"
AUSTRALIA,history,2017,588.48,,,8.6,"(0, 1, 0)"
AUSTRALIA,history,2018,625.24,,,8.6,"(0, 1, 0)"
AUSTRALIA,history,2019,620.06,,,8.6,"(0, 1, 0)"
AUSTRALIA,history,2020,619.94,,,8.6,"(0, 1, 0)"
AUSTRALIA,history,2021,623.03,,,8.6,"(0, 1, 0)"
AUSTRALIA,history,2022,727.76,,,8.6,"(0, 1, 0)"
AUSTRALIA,history,2023,856.17,,,8.6,"(0, 1, 0)"
AUSTRALIA,forecast,2024,856.17,597.55,1226.72,8.6,"(0, 1, 0)"
AUSTRALIA,forecast,2025,856.17,514.85,1423.77,8.6,"(0, 1, 0)"
AUSTRALIA,forecast,2026,856.17,459.24,1596.18,8.6,"(0, 1, 0)"
AUSTRALIA,forecast,2027,856.17,417.05,1757.65,8.6,"(0, 1, 0)"
AUSTRALIA,forecast,2028,856.17,383.11,1913.38,8.6,"(0, 1, 0)"
AUSTRALIA,forecast,2029,856.17,354.8,2066.02,8.6,"(0, 1, 0)"
AUSTRALIA,forecast,2030,856.17,330.63,2217.12,8.6,"(0, 1, 0)"
FRANCE,history,1971,173.0,,,6.1,"(0, 1, 0)"
FRANCE,history,1972,187.0,,,6.1,"(0, 1, 0)"
FRANCE,history,1973,152.0,,,6.1,"(0, 1, 0)"
FRANCE,history,1974,141.0,,,6.1,"(0, 1, 0)"
FRANCE,history,1975,159.0,,,6.1,"(0, 1, 0)"
FRANCE,history,1976,173.0,,,6.1,"(0, 1, 0)"
FRANCE,history,1977,165.0,,,6.1,"(0, 1, 0)"
FRANCE,history,1978,188.0,,,6.1,"(0, 1, 0)"
FRANCE,history,1979,207.0,,,6.1,"(0, 1, 0)"
FRANCE,history,1980,258.0,,,6.1,"(0, 1, 0)"
FRANCE,history,1981,295.0,,,6.1,"(0, 1, 0)"
FRANCE,history,1982,402.0,,,6.1,"(0, 1, 0)"
FRANCE,history,1983,402.0,,,6.1,"(0, 1, 0)"
FRANCE,history,1984,419.0,,,6.1,"(0, 1, 0)"
FRANCE,history,1985,362.0,,,6.1,"(0, 1, 0)"
FRANCE,history,1986,473.0,,,6.1,"(0, 1, 0)"
FRANCE,history,1987,591.0,,,6.1,"(0, 1, 0)"
FRANCE,history,1988,484.0,,,6.1,"(0, 1, 0)"
FRANCE,history,1989,535.0,,,6.1,"(0, 1, 0)"
FRANCE,history,1990,535.0,,,6.1,"(0, 1, 0)"
FRANCE,history,1991,586.0,,,6.1,"(0, 1, 0)"
FRANCE,history,1992,546.0,,,6.1,"(0, 1, 0)"
FRANCE,history,1993,518.0,,,6.1,"(0, 1, 0)"
FRANCE,history,1994,466.0,,,6.1,"(0, 1, 0)"
FRANCE,history,1995,475.0,,,6.1,"(0, 1, 0)"
FRANCE,history,1996,497.0,,,6.1,"(0, 1, 0)"
FRANCE,history,1997,416.0,,,6.1,"(0, 1, 0)"
FRANCE,history,1998,498.0,,,6.1,"(0, 1, 0)"
FRANCE,history,1999,575.0,,,6.1,"(0, 1, 0)"
FRANCE,history,2000,564.0,,,6.1,"(0, 1, 0)"
FRANCE,history,2001,585.0,,,6.1,"(0, 1, 0)"
FRANCE,history,2002,682.0,,,6.1,"(0, 1, 0)"
FRANCE,history,2003,644.0,,,6.1,"(0, 1, 0)"
FRANCE,history,2004,680.0,,,6.1,"(0, 1, 0)"
FRANCE,history,2005,781.0,,,6.1,"(0, 1, 0)"
FRANCE,history,2006,809.0,,,6.1,"(0, 1, 0)"
FRANCE,history,2007,763.0,,,6.1,"(0, 1, 0)"
FRANCE,history,2008,753.0,,,6.1,"(0, 1, 0)"
FRANCE,history,2009,806.0,,,6.1,"(0, 1, 0)"
FRANCE,history,2010,841.0,,,6.1,"(0, 1, 0)"
FRANCE,history,2011,852.0,,,6.1,"(0, 1, 0)"
FRANCE,history,2012,925.0,,,6.1,"(0, 1, 0)"
FRANCE,history,2013,909.0,,,6.1,"(0, 1, 0)"
FRANCE,history,2014,926.0,,,6.1,"(0, 1, 0)"
FRANCE,history,2015,917.0,,,6.1,"(0, 1, 0)"
FRANCE,history,2016,880.0,,,6.1,"(0, 1, 0)"
FRANCE,history,2017,880.1,,,6.1,"(0, 1, 0)"
FRANCE,history,2018,898.29,,,6.1,"(0, 1, 0)"
FRANCE,history,2019,959.1,,,6.1,"(0, 1, 0)"
FRANCE,history,2020,919.96,,,6.1,"(0, 1, 0)"
FRANCE,history,2021,971.22,,,6.1,"(0, 1, 0)"
FRANCE,history,2022,873.08,,,6.1,"(0, 1, 0)"
FRANCE,history,2023,804.51,,,6.1,"(0, 1, 0)"
FRANCE,forecast,2024,804.51,643.59,1005.67,6.1,"(0, 1, 0)"
FRANCE,forecast,2025,804.51,586.77,1103.07,6.1,"(0, 1, 0)"
FRANCE,forecast,2026,804.51,546.59,1184.15,6.1,"(0, 1, 0)"
FRANCE,forecast,2027,804.51,514.86,1257.12,6.1,"(0, 1, 0)"
FRANCE,forecast,2028,804.51,488.44,1325.12,6.1,"(0, 1, 0)"
FRANCE,forecast,2029,804.51,465.72,1389.77,6.1,"(0, 1, 0)"
FRANCE,forecast,2030,804.51,445.76,1451.99,6.1,"(0, 1, 0)"
